diag1_4,DIAGNOSIS_GROUP,label
W574,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W575,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W576,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W577,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W578,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W579,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W580,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W581,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W582,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W583,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W584,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W585,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W586,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W587,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W588,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W589,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W590,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W591,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W592,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W593,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W594,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W595,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W596,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W597,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W598,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W599,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W600,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W601,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W602,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W603,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W604,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W605,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W606,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W607,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W608,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W609,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W640,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W641,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W642,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W643,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W644,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W645,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W646,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W647,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W648,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W649,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W650,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W651,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W652,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W653,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W654,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W655,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W656,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W657,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W658,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W659,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W660,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W661,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W662,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W663,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W664,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W665,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W666,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W667,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W668,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W669,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W670,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W671,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W672,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W673,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W674,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W675,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W676,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W677,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W678,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W679,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W680,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W681,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W682,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W683,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W684,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W685,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W686,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W687,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W688,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W689,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W690,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W691,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W692,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W693,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W694,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W695,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W696,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W697,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W698,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W699,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W700,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W701,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W702,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W703,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W704,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W705,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W706,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W707,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W708,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W709,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W730,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W731,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W732,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W733,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
W734,140,"Allergic reactions, Rehabilitation care; fitting of prostheses; and adjustment of devices, Administrative/social admission, Medical examination/evaluation, Other aftercare, Other screening for suspected conditions (not mental disorders or infectious disease), Residual codes; unclassified, E Codes: All (external causes of injury and poisoning)"
